Gene,Pt_mRCC_SC_90,Pt_mRCC_SC_1,Pt_mRCC_SC_23,Pt_mRCC_SC_93,Pt_mRCC_SC_39,Pt_mRCC_SC_84,Pt_mRCC_SC_75,Pt_mRCC_SC_79,Pt_mRCC_SC_12,Pt_mRCC_SC_24,Pt_mRCC_SC_36,Pt_mRCC_SC_85,Pt_mRCC_SC_33,Pt_mRCC_SC_81,Pt_mRCC_SC_87,Pt_mRCC_SC_59,Pt_mRCC_SC_56,Pt_mRCC_SC_64,Pt_mRCC_SC_17,Pt_mRCC_SC_43,Pt_mRCC_SC_92,Pt_mRCC_SC_30,Pt_mRCC_SC_57,Pt_mRCC_SC_53,Pt_mRCC_SC_61,Pt_mRCC_SC_11,Pt_mRCC_SC_21,Pt_mRCC_SC_71,Pt_mRCC_SC_5,Pt_mRCC_SC_3,Pt_mRCC_SC_86,Pt_mRCC_SC_69,Pt_mRCC_SC_58,Pt_mRCC_SC_88,Pt_mRCC_SC_10
UAP1L1,5,49,0,1,0,0,9,0,161,0,1,0,0,0,4,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA1,348,48,147,146,24,316,33,284,249,30,122,145,232,38,45,30,115,227,118,221,74,272,299,29,70,71,4,18,0,122,68,162,126,66,165
UBA2,60,98,8,84,41,658,414,73,224,64,134,255,157,72,111,39,46,288,307,134,82,1806,211,152,229,183,9,432,1,8,474,3,788,279,80
UBA3,899,225,51,272,78,207,117,1,392,31,35,230,84,73,75,13,311,95,632,57,18,494,327,1331,56,208,150,545,2,628,14,618,268,94,22
UBA5,1,14,57,106,28,330,7,26,197,49,16,0,373,38,126,14,14,111,4,86,0,90,156,120,115,20,7,60,0,4,384,111,8,211,6
UBA52,684,215,219,248,52,396,340,394,425,262,141,284,994,108,273,99,258,473,417,716,120,653,525,1094,358,277,242,431,2,460,423,493,356,183,121
UBA6,5,848,582,278,221,2074,1351,97,1431,871,1089,499,3082,333,167,79,638,215,977,1039,267,2129,998,1324,495,3593,41,372,2,6374,841,2224,650,246,979
UBA6.AS1,877,48,96,1,13,1,18,185,8,129,13,2,221,3,9,3,1,14,13,0,26,3,0,0,0,68,0,1,0,79,0,0,3,1,2
UBA7,0,0,0,19,0,0,0,30,1,2,0,12,94,0,35,1,221,0,0,0,2,1,9,0,6,0,1,15,0,0,1,0,1,0,3
UBAC1,1,34,76,1,3,4,62,1,1,0,0,0,1,4,1,0,49,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,40
UBAC2,462,112,13,8,18,1,20,15,69,11,90,104,19,23,159,4,83,7,0,16,4,15,152,0,18,240,0,15,0,5,6,1,2,56,7
UBAC2.AS1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
UBALD1,0,0,0,0,0,0,4,0,0,2,2,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0
UBALD2,0,5,16,1,0,0,0,0,0,0,3,50,53,0,14,0,0,5,0,0,0,0,3,5,3,1,0,0,0,3,0,13,0,34,5
UBAP1,73,10,6,72,4,15,34,5,0,0,6,0,0,19,0,4,34,45,0,28,29,6,99,0,19,1,6,0,0,0,12,0,51,14,5
UBAP1L,0,0,0,0,3,126,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,1,0
UBAP2,35,4,2,14,8,1,6,95,47,0,14,129,22,4,36,4,3,39,100,69,15,4,65,4,102,44,178,0,1,3,60,65,2,45,83
UBAP2L,128,114,41,60,19,129,56,0,64,153,44,218,3,16,27,26,7,5,0,524,9,668,19,106,49,15,20,1,0,268,189,107,101,72,6
UBASH3A,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBASH3B,247,123,19,20,28,0,9,226,148,202,30,419,2856,118,389,61,82,54,12,35,63,1041,0,21,591,207,318,5,0,995,17,28,289,103,48
UBB,2313,1204,292,628,722,674,288,4349,1728,1137,565,309,4028,651,243,186,1799,1240,1055,2031,255,2060,1108,829,980,1538,1045,1213,4,1371,559,629,675,946,469
UBC,5252,1626,987,1882,2013,7146,1641,4901,2938,2291,1959,1618,9372,1151,2203,650,1904,1843,6340,5557,1564,11140,2559,4349,1604,2801,970,582,33,2708,1443,5533,1567,2074,489
UBD,0,0,0,0,6,1,0,0,0,0,0,0,38,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UBE2A,134,105,64,118,28,480,281,135,257,49,77,38,483,47,61,81,340,88,766,449,25,1758,30,685,89,180,182,23,1,176,271,467,11,92,35
UBE2B,249,161,48,178,45,310,299,329,413,217,159,168,1129,52,93,78,337,568,608,695,202,1927,166,619,281,344,129,97,0,1130,108,37,196,158,73
UBE2C,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,6,0,42,0,0,61,0,13,0,0,0,0,0,0,0,0,1,17
UBE2D1,436,66,80,83,82,688,106,71,330,26,90,275,125,65,192,30,96,228,43,370,43,0,231,0,387,356,175,201,0,338,0,8,73,73,8
UBE2D2,63,48,146,108,20,270,33,669,45,119,96,95,109,35,110,21,52,121,28,47,73,50,687,1986,22,192,27,37,0,170,190,442,448,22,29
UBE2D3,1971,928,395,391,472,1573,375,265,1071,1008,555,660,2023,298,714,454,613,1405,1645,1340,160,2672,2139,1830,709,828,194,1538,0,1132,983,1143,1983,292,298
UBE2D4,0,9,7,4,39,0,301,41,123,110,53,0,1437,8,0,38,82,0,0,0,0,92,210,928,0,1,673,1,0,2,1,368,46,215,10
UBE2E1,503,4,2,150,7,48,2,114,71,51,46,129,38,45,113,8,33,51,185,171,114,36,57,0,40,200,1,3,0,1,413,249,109,28,49
UBE2E2,89,43,56,75,6,38,21,9,35,86,7,79,554,17,99,24,310,74,310,102,200,86,243,3,25,170,31,320,1,55,237,4,46,12,2
UBE2E3,597,63,178,78,16,27,37,16,266,81,51,29,531,43,115,12,18,155,72,433,63,496,56,0,90,154,5,23,0,299,12,0,29,123,14
UBE2E4P,46,3,3,1,0,2,1,0,14,4,4,4,7,0,1,1,0,5,1,17,1,25,1,0,2,5,0,2,0,40,0,0,0,0,0
UBE2F,14,65,22,33,0,0,113,312,266,32,20,20,1,28,1,8,14,0,33,69,19,2,19,67,27,23,91,9,0,21,266,10,318,52,3
UBE2G1,47,264,221,233,48,23,4,1634,143,523,11,149,452,28,11,23,3,283,8,229,132,4,75,2549,192,333,3,2390,4,49,232,21,25,8,1
UBE2G2,549,273,348,91,47,140,163,184,433,218,394,151,323,186,192,166,983,419,2,158,130,820,305,196,83,208,17,127,0,94,81,719,172,335,146
UBE2H,259,477,622,257,217,1436,623,158,897,1051,260,186,5339,148,691,203,435,178,140,2782,61,762,172,252,548,717,61,17,5,368,484,268,1220,489,182
UBE2I,145,38,11,127,15,52,89,216,22,26,16,100,18,18,80,31,47,79,164,245,20,192,190,0,23,27,96,6,1,124,152,37,106,51,41
UBE2J1,369,36,631,32,18,137,79,0,37,19,61,154,2,21,62,8,325,805,2758,70,200,966,155,25,325,82,1541,4,1,43,76,161,531,17,4
UBE2J2,2,45,0,71,4,3,6,47,8,7,8,24,9,13,7,1,30,4,115,54,8,149,16,0,2,89,0,0,0,0,0,0,2,52,1
UBE2K,518,147,52,104,29,246,84,134,101,161,124,245,156,61,37,83,108,148,442,132,17,119,163,2960,121,111,785,131,0,49,140,104,29,252,22
UBE2L3,382,331,201,124,145,196,311,499,665,238,130,164,70,154,131,30,152,215,165,474,84,204,154,392,398,204,86,123,1,1041,97,48,137,209,71
UBE2L6,365,288,393,215,103,775,27,655,92,22,30,13,1253,54,161,6,422,17,12,149,40,0,0,458,65,83,8,45,2,8,499,32,462,196,27
UBE2M,61,22,26,12,4,81,32,62,19,29,16,47,122,10,37,20,74,19,2,34,19,1,47,5,46,48,96,261,0,66,115,195,71,7,42
UBE2MP1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,3,1,0,0
UBE2N,1422,17,19,285,93,285,8,55,288,162,252,52,195,70,99,59,723,755,1193,707,7,2025,185,838,169,479,25,770,0,330,283,1222,109,131,57
UBE2NL,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,3,0,0,5,0,0,3,0,0,0,0,0,0,2,0,0,0
UBE2O,40,115,0,9,4,485,7,334,1,20,18,85,13,12,1,0,74,1,24,17,4,610,1,0,22,28,6,0,0,1,0,0,0,0,27
UBE2Q1,11,12,73,50,13,0,34,189,233,70,18,46,418,11,16,16,8,174,501,6,45,333,58,100,24,114,252,217,1,11,96,2,105,4,3
UBE2Q1.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2Q2,192,156,21,98,71,1301,67,29,125,162,101,219,1508,62,290,57,166,288,23,1586,57,135,238,33,370,498,121,836,1,538,13,345,524,90,90
UBE2Q2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,6,0
UBE2Q2P1,9,59,0,23,0,0,10,1,1,76,51,76,4,101,88,49,3,3,2,0,45,22,4,1,6,3,11,1,1,101,11,373,11,2,2
UBE2Q2P2,0,0,0,6,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,86,1
UBE2R2,544,24,77,109,77,559,434,88,312,148,56,127,57,68,57,115,145,39,251,53,44,93,192,1,383,102,319,21,0,25,39,12,126,155,15
UBE2S,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,24,0,0,5
UBE2T,0,0,0,1,0,0,0,6,0,0,0,0,93,3,0,15,0,1,133,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UBE2U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
UBE2V1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,4,0,0,0,0,0,78,0,3,6,0
UBE2V2,49,7,281,20,17,20,124,140,67,54,2,43,0,55,5,38,270,298,47,107,44,21,2,663,6,14,43,335,2,99,16,239,484,88,81
UBE2W,328,236,78,117,49,575,348,6,318,514,121,201,229,68,188,3,253,340,1132,601,168,1394,73,91,267,519,586,51,1,118,78,28,835,194,294
UBE2Z,533,228,507,30,101,518,128,33,506,77,76,77,253,47,34,42,12,216,852,314,36,599,312,651,58,203,26,18,1,943,232,518,229,309,24
UBE3A,728,57,709,85,32,850,192,8,240,352,140,477,2502,46,142,117,136,339,1268,322,127,3241,330,453,340,214,102,1144,1,1605,46,8,280,326,196
UBE3B,10,43,1,189,10,151,11,1,134,64,34,208,0,3,32,3,128,25,9,151,5,716,10,5,23,7,0,3,1,55,37,8,29,362,23
UBE3C,44,131,130,37,15,244,135,45,61,164,82,86,9,47,260,81,163,51,64,106,9,242,82,10,61,72,3,0,0,159,112,11,1562,82,71
UBE3D,5,0,0,13,0,0,11,0,34,4,17,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
UBE4A,7,256,74,54,150,405,136,64,1086,74,84,191,29,22,30,219,433,322,6,98,9,534,361,374,39,288,3,28,0,3152,114,20,213,73,54
UBE4B,88,100,50,52,12,6,45,0,8,97,7,79,65,22,253,6,25,110,21,18,61,12,46,18,19,3,1449,3,0,1,40,14,54,36,1
UBFD1,46,6,58,54,2,0,39,0,53,82,11,55,316,10,90,7,1,132,0,13,39,9,64,25,11,656,10,1,0,177,1073,0,3,31,5
UBIAD1,1,2,2,4,70,76,21,11,164,93,10,35,1,9,9,2,152,64,5,258,18,2,15,39,1,7,3,0,1,0,6,790,8,27,2
UBL3,5,111,25,19,6,2,28,2,24,12,27,4,28,7,26,57,44,1,10,28,20,309,0,0,106,2,0,3,0,0,3,1,13,20,1
UBL4A,93,51,14,62,2,147,89,1532,14,15,39,40,392,24,14,2,211,2,789,84,9,22,14,1164,6,11,6,2,0,0,56,108,4,61,79
UBL5,114,50,88,59,14,43,45,110,117,83,52,107,252,21,34,18,100,115,125,154,41,100,59,32,55,100,70,104,0,101,41,61,118,57,22
UBL7,37,14,13,22,18,37,8,47,76,2,8,19,15,2,21,4,30,4,36,0,2,0,105,18,8,36,0,0,0,94,15,2,6,21,14
UBL7.AS1,0,0,0,1,5,0,0,0,3,0,6,0,0,0,0,0,0,26,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,87,40
UBLCP1,108,29,17,27,211,129,52,911,256,82,184,67,111,22,48,11,297,8,640,15,4,101,450,103,56,100,25,3,0,35,95,23,81,30,3
UBN1,98,69,1,5,0,156,3,10,67,1,18,171,0,2,14,2,61,34,17,45,12,0,47,0,158,9,2,0,0,0,4,17,6,24,7
UBN2,71,17,333,125,186,1172,33,93,16,155,8,61,238,132,51,60,52,401,700,32,81,464,17,81,21,34,0,22,2,310,76,52,69,26,2
UBOX5,0,0,0,0,3,6,0,0,0,3,1,0,0,0,0,51,15,0,102,0,0,1,0,0,11,0,0,0,0,41,106,0,0,0,1
UBOX5.AS1,0,0,11,5,1,0,0,0,0,4,0,0,0,2,0,0,18,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,13,28
UBP1,207,1,139,386,41,26,110,11,27,176,65,167,291,68,73,22,0,23,133,396,72,185,33,8,253,5,153,6,0,230,346,0,3,17,59
UBQLN1,341,86,86,138,49,225,139,930,411,41,89,297,698,39,80,35,128,144,182,273,38,69,788,4,116,118,51,81,0,936,349,152,14,186,46
UBQLN2,67,69,371,111,132,314,155,77,459,100,196,553,975,113,15,14,186,130,79,1114,226,48,8,95,351,167,31,258,0,144,39,4,255,5,133
UBQLN4,24,1,19,16,5,1,9,3,88,54,43,42,2111,17,412,29,45,14,0,49,0,12,1,3,53,54,20,2,0,0,7,30,21,93,16
UBQLNL,0,0,0,0,0,0,0,0,58,2,0,0,0,0,0,0,0,0,0,1,64,0,0,891,0,0,0,0,0,0,0,0,0,0,0
UBR1,7,11,28,8,5,105,3,0,149,1,11,5,4,10,20,37,3,31,4,17,22,273,0,2,3,3,8,2,0,11,0,1,0,5,13
UBR2,4,214,0,26,116,100,12,7,348,225,98,43,0,6,22,70,29,68,56,5,2,271,14,46,13,17,0,29,0,841,2,19,1,2,191
UBR3,37,19,0,136,41,89,15,5,24,26,16,2,0,1,3,0,21,114,144,14,16,1,55,7,0,67,19,8,0,29,5,0,0,75,1
UBR4,227,221,53,70,70,172,127,916,155,120,113,185,768,24,131,41,57,152,415,104,44,805,33,50,112,309,357,179,0,136,162,48,68,133,26
UBR5,154,345,300,38,47,406,113,641,257,127,37,562,811,130,162,6,116,163,254,935,13,115,196,1,61,232,69,2,1,576,18,0,643,43,97
UBR5.AS1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
UBR7,0,14,0,80,18,0,5,0,47,281,7,13,0,0,2,9,10,22,247,16,2,31,47,1,93,288,0,0,0,0,14,1,0,19,25
UBTD1,0,0,7,2,1,0,0,0,0,0,2,0,0,3,0,0,0,100,3,1,0,0,1,0,0,22,2,2,0,0,0,0,3,0,0
UBTD2,1,14,90,5,20,0,120,0,207,21,25,99,131,20,32,14,255,86,210,22,0,4,0,0,21,62,0,18,0,72,26,210,12,112,1
UBTF,0,43,25,81,15,2,41,25,31,32,26,33,1,11,62,9,130,9,2,320,48,192,224,0,10,46,6,2,1,0,12,27,33,34,12
UBXN1,2,84,19,8,9,41,33,40,238,39,23,74,138,20,65,2,25,35,282,119,14,71,103,5,12,55,4,29,0,1,82,6,1,42,34
UBXN10,0,0,0,1,0,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0
UBXN10.AS1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBXN11,0,2,0,0,8,0,19,2,4,2,3,0,0,0,3,0,47,3,0,1,0,0,0,15,2,0,0,0,0,0,0,19,38,11,46
UBXN2A,0,8,32,0,15,0,113,0,26,19,18,24,0,9,96,3,2,1,0,2,0,17,245,0,0,211,6,0,0,5,8,74,55,41,11
UBXN2B,126,287,11,16,9,73,16,24,186,22,108,8,20,55,20,190,173,599,1,55,25,1056,7,2,27,318,17,1,1,712,1454,5,47,632,48
UBXN4,93,170,94,89,80,145,58,202,831,264,113,1401,221,119,118,79,158,555,462,1314,320,65,131,37,114,258,957,112,1,221,84,34,237,143,104
UBXN6,0,53,4,15,1,3,11,69,63,56,26,0,1,3,9,5,20,74,284,4,25,1,1,0,61,12,0,1,0,0,2,0,153,33,0
UBXN7,412,254,70,80,54,123,143,8,413,335,183,125,993,59,4,18,60,217,5,638,120,227,361,144,471,113,47,421,1,47,6,4,3,339,36
UBXN8,0,0,9,0,0,0,3,2,0,2,0,5,0,0,0,0,0,0,196,0,0,469,0,0,0,0,0,8,1,0,1,0,0,0,0
UCA1,0,1,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0
UCHL1,215,126,7,522,17,192,41,865,211,22,22,24,1191,40,93,56,7,0,346,114,5,482,23,7,106,154,0,376,0,6,229,332,0,18,118
UCHL1.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCHL3,1,3,8,0,0,0,4,53,22,0,1,0,93,1,0,1,0,25,0,0,0,101,0,0,0,5,0,30,0,11,1,0,30,22,1
UCHL5,24,46,0,5,0,61,19,124,17,15,54,8,878,7,44,19,2,50,46,534,44,26,20,2,17,84,0,1,0,0,37,0,7,2,13
UCK1,0,17,0,0,0,0,0,0,62,0,2,0,1,2,0,14,0,5,0,0,0,9,1,0,17,1,1,0,0,0,0,0,0,0,1
UCK2,62,18,13,65,7,82,146,5,137,20,32,14,0,15,13,7,91,19,158,63,34,216,7,0,18,34,9,86,0,0,27,7,120,56,20
UCKL1,0,0,0,16,2,71,16,0,74,4,11,0,17,5,1,0,39,6,0,31,5,0,1,0,17,0,33,0,0,1,2,0,0,114,0
UCKL1.AS1,3,0,0,0,11,0,91,1,2,6,0,29,0,0,0,50,16,0,2,3,0,26,1,0,1,0,0,0,0,1,0,0,0,1,0
UCN,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
UCN2,0,20,32,0,4,0,0,1,0,51,0,3,0,4,0,0,0,0,0,0,2,0,93,0,0,1,0,6,0,0,0,1,0,1,3
UCP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCP2,0,0,0,0,41,0,0,0,1,1,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,36
UCP3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
UEVLD,0,28,0,7,17,49,42,934,48,70,80,153,0,25,11,5,22,0,0,7,13,86,23,3,15,107,0,1,0,11,20,121,0,1,2
UFC1,0,106,238,76,35,216,147,2,15,255,75,95,3,30,247,30,146,97,782,162,1,126,80,241,59,257,82,655,0,16,81,130,49,81,24
UFD1L,18,97,91,21,5,34,4,51,61,134,51,61,28,2,24,8,47,16,39,17,17,37,15,4,1,9,1,10,0,5,10,1,9,39,48
UFL1,277,5,40,16,3,183,40,55,74,29,70,91,61,2,40,9,7,53,3,103,1,5,4,25,36,55,13,38,0,5,21,13,198,30,1
UFM1,2610,133,1230,227,128,1838,723,125,1882,558,214,421,1400,167,288,245,500,471,282,1270,162,749,208,35,375,1154,1590,401,1,1134,146,1652,708,272,101
UFSP1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0
UFSP2,4,3,1,48,4,30,104,0,5,19,5,28,285,24,10,16,15,3,4,5,6,17,28,0,15,11,0,2,0,117,48,0,2,42,2
UGCG,1410,941,484,989,239,2639,547,76,1732,631,20,68,317,414,244,117,23,1686,4,2413,567,3973,822,681,436,777,1,4989,2,352,772,730,3356,484,43
UGDH,205,570,473,240,59,779,566,40,494,532,348,647,1312,165,70,22,1190,77,83,1246,39,1170,173,289,628,798,241,3899,0,140,320,253,731,901,429
UGDH.AS1,0,1,1,1,0,3,0,4,4,1,47,0,0,5,1,1,0,0,0,18,6,0,1,0,0,0,0,13,0,0,0,0,0,0,0
UGGT1,2,58,3,0,4,27,3,39,3,16,17,13,161,30,68,0,6,11,0,0,2,1,0,0,0,60,0,98,0,365,1,0,0,138,1
UGGT2,19,0,9,39,0,1,1,0,45,6,3,13,1,4,2,7,0,0,0,46,0,17,0,0,0,0,10,0,0,101,28,1,5,12,0
UGP2,7,62,66,76,105,866,116,76,166,34,139,177,1153,42,66,98,81,207,224,310,114,202,185,3,168,274,401,54,1,44,26,402,449,499,56
UGT1A10,0,0,0,0,0,224,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UGT1A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT1A7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT1A8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT2A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT2A3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
UGT2B10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT2B11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT2B15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT2B4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT2B7,0,13,3,33,6,1,39,2,1,69,44,6,0,34,18,1,1,45,0,62,0,41,1,130,1,11,0,44,0,0,4,48,7,25,0
UGT3A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT8,0,60,1,0,58,0,32,0,0,0,23,0,0,3,0,0,0,0,0,0,0,151,0,4,4,53,51,0,0,286,0,33,0,80,18
UHMK1,136,73,305,284,129,1812,392,28,717,193,258,224,2235,166,434,143,844,955,2043,1274,62,3626,745,62,204,1185,275,599,0,1183,417,824,205,837,637
UHRF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,165,0,12,0,1,0,0,0,0,0,0,37
UHRF1BP1,0,4,155,20,51,0,430,0,1,14,0,0,1530,9,0,0,18,32,5,138,15,68,3,137,14,27,2,1,0,0,0,38,0,26,25
UHRF1BP1L,1,0,14,53,21,519,84,47,239,119,155,129,259,1,67,0,28,351,104,368,1,433,14,33,3,18,0,4,0,98,25,18,41,64,2
UHRF2,1,25,6,25,13,169,4,248,36,2,12,3,452,8,4,1,2,3,0,0,29,1557,131,0,7,0,0,1,0,1,1,19,8,25,1
UIMC1,1,89,1,53,11,0,126,1,10,27,30,14,1,17,0,47,18,56,24,14,78,467,75,0,0,56,72,1,1,1,114,8,10,24,1
ULBP1,47,0,18,4,0,122,0,0,5,43,2,0,1082,0,2,0,0,1,30,1,9,1,0,0,0,1,0,0,2,77,5,256,0,8,1
ULBP2,0,12,0,0,4,0,0,0,0,0,0,0,77,10,0,5,10,0,0,35,6,0,0,46,0,0,0,0,0,0,0,1,0,0,0
ULBP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULK1,0,20,6,24,8,16,12,90,10,19,1,0,0,4,67,2,23,0,92,21,1,9,32,0,7,45,5,51,0,187,0,30,3,2,8
ULK2,0,14,7,2,0,905,1,7,11,148,8,6,18,0,10,74,231,0,1,180,18,29,4,0,7,33,3,0,0,16,12,5,31,107,3
ULK3,4,116,151,129,0,10,188,0,9,85,8,12,0,30,96,0,179,56,0,31,14,0,0,0,0,2,1,24,1,0,11,57,39,17,59
ULK4,0,0,0,1,0,0,13,0,0,0,0,2,0,0,1,0,3,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,1
ULK4P3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
UMAD1,20,2,66,55,0,346,23,4,25,39,106,42,19,4,47,0,3,20,1371,9,1,0,195,0,86,49,0,1,0,165,0,0,1038,22,2
UMODL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMPS,114,1,6,84,7,4,37,7,31,29,50,81,7,22,11,0,142,6,110,95,15,313,0,1,6,160,0,19,0,497,1,53,0,20,13
UNC119,0,2,0,72,1,0,174,5,206,0,33,5,0,27,0,0,1,0,23,0,1,1,42,0,14,46,76,0,0,10,1,44,0,10,12
UNC119B,11,25,59,22,29,0,241,21,0,21,15,30,95,42,1,34,228,107,271,2,1,1114,65,21,2,301,0,0,0,0,9,65,2,5,0
UNC13A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC13B,2,0,0,3,3,0,19,0,9,1,14,5,104,26,20,0,10,31,0,0,2,70,0,0,0,114,1,18,0,0,71,798,623,2,0
UNC13C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC13D,25,11,7,0,0,15,55,14,26,13,10,1,0,2,11,2,27,16,0,0,6,3,12,0,2,0,66,0,0,0,10,1,89,24,16
UNC45A,6,71,4,23,9,212,22,0,36,1,35,5,1160,51,11,4,159,28,0,48,41,1,6,3,30,4,0,1,0,0,632,1,3,37,18
UNC45B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC50,213,194,65,61,30,258,69,143,58,32,32,51,470,16,111,9,67,125,20,218,15,221,0,129,73,55,1,84,0,430,86,14,63,94,12
UNC5A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC5B,0,0,0,0,1,0,0,0,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
