Gene,Pt_mRCC_SC_90,Pt_mRCC_SC_1,Pt_mRCC_SC_23,Pt_mRCC_SC_93,Pt_mRCC_SC_39,Pt_mRCC_SC_84,Pt_mRCC_SC_75,Pt_mRCC_SC_79,Pt_mRCC_SC_12,Pt_mRCC_SC_24,Pt_mRCC_SC_36,Pt_mRCC_SC_85,Pt_mRCC_SC_33,Pt_mRCC_SC_81,Pt_mRCC_SC_87,Pt_mRCC_SC_59,Pt_mRCC_SC_56,Pt_mRCC_SC_64,Pt_mRCC_SC_17,Pt_mRCC_SC_43,Pt_mRCC_SC_92,Pt_mRCC_SC_30,Pt_mRCC_SC_57,Pt_mRCC_SC_53,Pt_mRCC_SC_61,Pt_mRCC_SC_11,Pt_mRCC_SC_21,Pt_mRCC_SC_71,Pt_mRCC_SC_5,Pt_mRCC_SC_3,Pt_mRCC_SC_86,Pt_mRCC_SC_69,Pt_mRCC_SC_58,Pt_mRCC_SC_88,Pt_mRCC_SC_10
GNAO1,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNAQ,460,124,201,414,48,319,982,58,373,189,191,529,285,102,102,17,521,311,978,409,138,312,214,655,108,243,162,829,0,77,95,31,572,283,183
GNAS,40,70,622,305,87,515,181,520,206,131,159,322,1045,119,462,54,249,146,29,561,149,139,93,139,297,403,340,232,1,261,317,124,152,232,197
GNAS.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNAT2,0,0,0,25,0,0,0,0,0,1,3,0,0,0,19,1,4,0,0,19,0,0,0,0,96,0,1,0,0,0,0,0,0,77,0
GNAT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNAZ,0,6,1,23,0,0,119,0,8,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,3,139,1
GNB1,1629,183,970,241,49,601,501,2082,747,427,166,467,2094,224,286,96,254,483,458,308,153,2271,453,237,229,236,464,1214,2,370,1485,2368,344,518,111
GNB1L,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,5,0,0,1,0,0,0,12,0,55,0,0,0,0,0,0,0,3
GNB2,24,3,0,26,8,54,81,3,16,24,39,74,204,10,41,11,110,6,12,81,4,17,35,0,18,19,25,21,0,19,15,146,19,31,23
GNB2L1,331,191,365,361,49,628,103,470,386,230,129,187,468,141,313,50,297,157,320,413,174,775,328,115,192,466,311,46,1,430,102,553,239,280,105
GNB3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB4,17,13,159,314,30,35,639,312,199,255,189,159,787,57,104,112,145,17,316,238,244,842,538,544,132,307,243,570,1,1015,106,180,192,79,21
GNB5,490,29,85,118,1,185,25,336,140,63,164,380,114,55,29,9,81,8,53,189,58,390,16,108,97,95,24,39,0,431,16,40,2,21,58
GNE,12,6,10,10,0,0,137,2,59,5,48,1,5,32,2,58,1,11,1,32,0,0,1,0,180,65,12,44,1,474,439,241,0,6,4
GNG10,0,2,0,0,0,6,1,0,0,0,0,0,19,0,0,0,0,0,11,8,0,7,1,0,0,2,0,0,0,2,2,0,0,0,0
GNG11,1000,388,652,396,263,325,537,678,313,310,421,768,4600,351,701,87,432,195,871,494,195,626,608,416,494,2370,352,738,1,1390,424,1101,330,620,176
GNG12,261,1263,849,585,546,1092,232,18,947,1005,392,243,4748,330,1220,130,1237,893,5691,4107,252,3277,2243,2561,554,1987,280,1585,4,94,948,806,684,323,562
GNG12.AS1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,34,0,0,0,0,0,6,336,0,0,22
GNG2,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNG4,0,1,0,34,0,0,1,0,0,0,50,0,1,0,0,6,0,0,0,212,18,0,0,0,0,0,123,560,0,0,12,0,0,11,0
GNG5,449,73,62,143,31,157,149,206,318,105,75,126,276,62,147,45,176,207,124,389,31,193,165,170,155,143,195,354,0,89,144,99,88,116,72
GNG7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
GNGT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNGT2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GNL1,5,1,0,0,0,0,171,49,4,7,0,0,1,1,0,0,52,63,0,75,0,0,22,2,3,6,6,0,0,0,14,0,0,33,2
GNL2,195,35,8,145,13,345,9,56,109,129,91,28,61,33,5,8,236,231,6,125,7,124,14,375,26,140,29,1,1,31,33,392,38,48,25
GNL3,622,790,410,205,131,1235,231,432,276,162,172,354,233,134,175,82,136,176,913,418,138,247,875,820,76,422,312,106,1,1460,412,439,394,176,101
GNL3L,667,194,960,167,24,281,116,789,230,159,146,96,174,98,74,11,163,163,178,409,31,729,32,126,106,182,148,86,0,527,54,878,48,323,38
GNLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNPAT,190,30,75,60,15,132,173,207,7,119,29,208,10,21,132,57,73,118,11,88,18,60,113,3,162,86,308,1,1,191,102,4,4,26,1
GNPDA1,484,42,242,118,29,24,52,17,117,67,76,103,40,60,144,4,82,68,137,114,230,103,6,0,34,26,1,80,1,270,453,31,841,2,17
GNPDA2,0,2,9,29,4,338,0,0,3,57,183,5,0,1,0,1,39,2,0,0,1,1,0,0,22,7,0,670,0,120,1,0,0,10,2
GNPNAT1,30,125,15,216,10,186,88,41,75,32,181,123,82,40,35,52,253,19,73,417,76,2063,132,799,13,177,13,62,0,438,1014,112,297,37,28
GNPTAB,56,214,46,148,29,111,129,209,101,261,83,159,1,21,79,4,101,60,21,8,13,4,0,235,1,195,1,0,1,1,52,38,123,3,31
GNPTG,0,9,0,38,7,0,34,70,0,11,2,7,2,9,9,2,0,0,0,0,85,0,0,0,5,26,0,167,0,10,27,0,106,104,28
GNRH1,0,0,304,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,53,1,1,0,0,0,0,0,16,0,94,0,0,0,0,0
