Gene,PDX_mRCC_SC_1,PDX_mRCC_SC_79,PDX_mRCC_SC_4,PDX_mRCC_SC_87,PDX_mRCC_SC_34,PDX_mRCC_SC_89,PDX_mRCC_SC_69,PDX_mRCC_SC_20,PDX_mRCC_SC_61,PDX_mRCC_SC_5,PDX_mRCC_SC_68,PDX_mRCC_SC_56,PDX_mRCC_SC_3,PDX_mRCC_SC_44,PDX_mRCC_SC_92,PDX_mRCC_SC_63,PDX_mRCC_SC_12,PDX_mRCC_SC_52,PDX_mRCC_SC_70,PDX_mRCC_SC_88,PDX_mRCC_SC_77,PDX_mRCC_SC_90,PDX_mRCC_SC_60,PDX_mRCC_SC_81,PDX_mRCC_SC_95,PDX_mRCC_SC_93,PDX_mRCC_SC_41,PDX_mRCC_SC_80,PDX_mRCC_SC_6,PDX_mRCC_SC_64,PDX_mRCC_SC_15,PDX_mRCC_SC_14,PDX_mRCC_SC_8,PDX_mRCC_SC_94,PDX_mRCC_SC_21,PDX_mRCC_SC_86
RNF141,1,11,101,22,0,126,65,29,2,14,1,68,14,55,12,24,13,0,31,15,58,0,2,13,1,15,71,31,52,0,74,16,13,1,0,19
RNF144A,0,3,0,0,1,52,0,0,0,0,0,19,7,8,0,0,0,219,18,0,813,0,0,0,0,34,36,6,0,0,0,0,0,0,0,0
RNF144A.AS1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RNF144B,612,1,0,760,3,42,71,248,587,556,6,55,1,32,0,2,2,124,17,5,6,0,2,21,0,111,5,2,225,3,106,21,1,1,992,102
RNF145,22,6,130,35,17,186,37,3,5,11,9,31,24,81,57,178,27,33,112,0,25,0,0,345,152,101,26,141,74,1,7,113,10,357,1,10
RNF146,0,0,1,0,0,2,3,2,107,0,0,2,2,0,0,0,4,0,22,0,0,0,0,0,0,1,0,2,0,0,3,7,1,1,0,1
RNF148,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF149,98,81,124,98,243,406,554,415,361,126,39,394,15,150,169,9,246,122,177,738,288,222,216,31,18,134,82,421,29,36,119,61,65,617,20,414
RNF150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0
RNF151,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
RNF157,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF166,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF167,23,0,28,18,7,14,33,1,78,3,0,2,0,9,0,100,2,14,89,0,53,7,1,0,180,8,13,0,65,0,0,0,0,5,0,81
RNF168,43,21,120,3,482,262,3,130,135,1,605,32,890,53,27,1,3,311,216,3,3,3,0,1,105,28,132,656,9,658,233,16,780,428,2,22
RNF169,1,0,14,0,0,2,23,5,181,6,1,5,2,17,127,21,12,25,14,1,2,0,24,8,3,0,63,133,287,2,16,0,0,231,9,5
RNF17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RNF170,0,0,0,0,0,2,1,24,0,67,0,1,0,3,0,0,0,6,138,0,52,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0
RNF175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RNF180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
RNF181,231,48,56,143,116,91,205,188,215,333,132,55,130,35,48,49,79,122,395,131,75,309,52,7,166,19,12,249,56,3,70,112,102,153,155,109
RNF183,0,0,0,0,0,5,106,0,0,0,0,0,0,0,4,0,1,0,68,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0
RNF185,40,54,662,0,365,99,172,101,604,0,109,152,0,42,25,16,164,256,274,705,700,3,36,1,183,1,462,89,593,83,52,70,0,636,1,0
RNF187,33,5,167,85,102,35,4,259,154,58,12,277,50,3,0,19,6,33,32,15,26,159,1,65,0,30,5,103,25,0,41,21,82,0,4,42
RNF19A,681,16,624,20,236,196,940,28,28,183,89,9,0,35,55,54,10,151,343,10,1,4,8,5,0,27,5,257,12,60,27,19,33,23,0,225
RNF19B,159,102,162,51,69,43,199,83,88,21,114,71,7,32,2,350,1,22,306,293,11,170,26,5,5,55,25,174,80,6,30,8,272,56,28,197
RNF2,19,64,31,6,1,30,6,94,46,4,6,5,14,75,129,10,400,73,39,0,84,0,12,9,0,32,0,20,57,5,7,20,1205,94,32,145
RNF20,0,0,0,0,0,18,0,6,0,0,3,0,0,10,11,5,0,0,0,0,0,0,0,0,0,62,29,0,0,0,0,0,14,22,0,0
RNF207,35,0,0,0,260,17,4,0,38,0,42,2,0,61,0,0,0,25,103,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1
RNF208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RNF212,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF212B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF213,418,132,54,19,641,124,19,30,23,46,434,18,63,76,153,32,16,502,7,176,137,2,4,184,30,100,10,13,35,6,177,2,88,15,29,39
RNF214,5,60,0,0,6,10,0,46,1,0,0,0,0,2,0,0,0,8,0,0,3,0,0,1,24,6,0,0,0,0,3,0,0,3,0,0
RNF215,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,21,0,1,0,0,1,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0
RNF216,30,37,90,5,102,22,7,137,41,7,18,49,262,9,56,155,1,55,4,5,0,5,0,36,0,11,2,6,70,0,49,0,2,0,2,8
RNF216P1,51,10,5,121,1,21,10,54,13,175,470,14,9,7,11,58,22,88,205,8,518,0,1,49,1,16,2,77,7,4,5,165,88,21,0,27
RNF217,0,58,3,3,19,37,6,0,1299,22,0,0,0,3,99,0,0,3,319,1125,9,2,19,7,3,1,10,137,0,0,26,0,0,508,12,314
RNF217.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,42,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
RNF219,0,4,0,45,0,152,12,14,0,0,16,0,1,23,0,8,2,0,61,67,13,49,1205,2,0,9,205,588,2,9,0,0,0,7,0,5
RNF220,0,0,1,1,8,23,45,70,0,10,0,3,1,54,4,20,160,3,20,0,0,0,62,0,0,2,499,11,1,0,3,0,110,37,0,119
RNF222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
RNF24,0,10,2,0,0,21,0,3,1,2,1,17,0,17,28,0,0,9,346,0,3,0,5,0,12,22,15,1,184,0,10,9,2,79,6,8
RNF25,0,0,0,0,0,13,0,95,9,18,0,0,0,2,0,0,0,0,4,0,0,1,3,0,0,3,0,0,2,0,0,159,0,26,0,10
RNF26,0,25,22,0,17,9,0,0,53,0,0,37,0,0,0,0,2,17,0,1,0,0,0,0,0,0,0,52,0,1,0,0,0,0,3,200
RNF31,0,3,0,0,0,1,3,0,2,0,0,16,0,0,0,7,11,0,0,0,2,0,9,0,7,2,4,46,0,4,1,4,0,0,0,0
RNF32,39,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,3,45,611,0,0,0,0,0,37,0,0,4,0,4,0,0,0,1,0
RNF34,370,20,0,0,0,26,235,0,25,0,0,3,0,11,81,388,6,15,69,2,0,740,0,5,0,13,0,61,0,0,29,1,0,35,0,280
RNF38,11,1,154,0,1,11,15,6,0,0,0,57,0,1,0,0,29,29,25,53,0,0,11,0,0,0,0,41,0,0,0,141,0,113,0,54
RNF39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF4,1,15,645,72,26,107,407,194,54,80,0,1105,15,29,64,778,116,316,538,168,578,13,32,520,0,85,89,2047,652,888,126,3,317,64,740,45
RNF40,188,13,75,57,1,24,222,170,4,0,1,7,0,4,0,392,72,71,10,1,0,0,0,0,0,5,5,515,25,321,0,217,35,19,0,15
RNF41,0,66,71,1,63,12,82,5,1,0,0,1,1,43,0,436,0,36,0,0,2,0,9,0,0,20,376,66,0,452,5,26,2,0,1,8
RNF43,0,0,0,43,0,2,48,0,0,101,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,245,0,0,0,74,0,0,0,109
RNF44,0,0,0,0,3,32,42,0,0,1,0,2,0,1,0,0,0,1,34,2,0,0,8,5,93,14,8,181,0,0,0,0,0,118,8,2
RNF5P1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RNF6,195,24,122,99,69,146,719,305,1780,1,237,22,0,18,131,4,81,19,1408,89,213,4,22,10,778,66,525,73,889,61,9,10,12,3,2,716
RNF7,549,85,324,373,432,85,313,247,540,106,57,143,182,37,133,75,135,71,339,40,576,331,267,168,43,120,222,94,190,31,55,536,23,510,70,62
RNF8,5,0,10,3,18,20,0,0,193,68,0,0,1,13,1,4,0,40,0,0,1,0,378,4,5,15,195,14,23,166,0,5,0,1,0,8
RNFT1,0,2,33,0,111,30,0,122,178,288,19,0,0,19,32,0,361,1,2,0,0,0,0,0,0,9,0,56,0,0,15,0,0,195,0,80
RNFT2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,114,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0
RNGTT,0,2,1,0,0,0,3,55,263,0,0,1,19,3,128,25,18,38,78,0,33,0,963,409,0,47,34,1,0,32,22,433,0,1,9,194
RNH1,52,59,111,86,7,9,7,36,0,48,185,31,163,4,6,29,18,8,10,0,7,72,18,4,4,10,0,0,0,0,8,0,45,0,264,1
RNLS,0,1,0,67,7,5,0,56,0,0,0,8,0,3,0,0,1,77,0,0,0,0,0,0,23,1,0,0,35,0,0,9,0,10,0,0
RNMT,15,6,711,111,56,200,471,639,154,56,160,141,12,61,383,107,63,39,652,950,78,1830,167,140,95,82,42,101,152,648,93,8,197,330,28,22
RNMTL1,191,39,40,0,6,1,3,0,267,39,0,0,0,0,22,1,7,11,29,168,0,0,72,5,0,2,0,1,0,0,0,65,1,0,0,4
RNPC3,0,94,0,2,2,25,2,13,84,78,0,0,2,6,24,3,0,18,14,0,0,0,6,0,13,2,0,54,2,0,4,0,4,50,0,33
RNPEP,184,87,19,73,127,35,118,86,68,57,0,59,0,15,0,50,26,18,50,354,241,27,0,0,4,15,16,4,2,16,0,74,0,68,46,2
RNPEPL1,2,3,11,0,3,4,1,5,63,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNPS1,258,189,453,374,102,124,289,82,355,471,283,399,9,54,82,104,61,229,536,168,176,784,593,214,172,82,103,100,460,1,43,272,197,56,79,59
RNU1.13P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
RNU11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU4ATAC,1,0,0,0,0,0,0,4,1,2,1,0,1,2,0,3,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,3,0,1,19
RNU5F.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6.19P,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6.2,12,41,3,5,3,5,8,1,62,4,26,24,85,8,78,23,8,1,10,49,16,1,20,59,1,2,25,23,8,2,10,3,14,4,6,21
RNU6.28P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6.53P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6.57P,0,0,0,0,36,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RNU6.71P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
RNU6.78P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
RNU6.79P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6.83P,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
RNU6ATAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
RNU86,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8
RNVU1.19,1,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0
RNVU1.20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RNVU1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROBO1,107,138,0,320,0,30,10,0,0,0,1,0,0,16,0,7,0,110,85,0,0,1,0,0,0,0,1,0,1,67,0,0,63,0,0,0
ROBO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ROBO3,0,9,0,9,18,4,20,1,4,0,0,4,1,0,0,1,8,6,23,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2,1,2
ROBO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROCK1,381,54,67,10,45,76,161,623,81,27,48,29,114,81,64,126,184,402,192,4,10,715,27,1,59,101,14,370,45,12,49,472,13,45,28,13
ROCK1P1,35,2,4,0,5,4,10,52,0,1,1,0,4,8,2,18,14,46,1,0,0,124,2,0,2,8,1,22,1,5,1,49,4,1,2,1
ROCK2,268,14,1,47,62,190,75,98,117,0,99,360,3,72,155,54,10,119,134,26,23,12,306,75,7,24,0,394,93,47,149,0,19,49,3,35
ROGDI,0,2,28,0,0,4,0,12,53,51,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ROM1,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0
ROMO1,46,43,139,231,68,61,144,67,243,87,96,91,100,24,37,94,83,38,267,111,97,154,178,74,62,33,61,95,103,59,15,109,111,56,57,63
ROPN1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROPN1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROPN1L.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROR1,353,1,6,17,1,46,189,67,69,0,0,55,25,17,1,0,1,0,0,31,0,9,0,7,4,4,3,264,0,0,29,0,1,0,1,4
ROR1.AS1,0,0,56,554,0,3,92,11,135,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,1,2,0,120,16,0,0,0,0,4,0
ROR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RORA,670,0,64,57,39,22,674,677,368,141,0,2,58,20,1,0,4,10,308,1,0,1,1,8,19,61,30,204,43,60,15,0,3,123,5,48
RORA.AS1,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,2,75,0,0,0,0,0,0,0,0,0,11,211,0,0,0,0,108,0,0
RORC,1,0,104,0,0,0,1,49,0,136,9,0,0,0,0,14,0,0,0,0,1,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0
ROS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
RP2,7,16,8,2,2,68,46,92,184,468,0,17,9,6,204,16,1,93,4,5,513,1,23,214,0,11,23,25,3,5,37,2,0,0,0,36
RP9,15,10,1,0,68,38,1,1,167,111,25,42,0,6,0,0,21,52,19,21,2,12,63,31,2,33,59,119,19,35,2,4,0,40,217,91
RP9P,7,0,20,1,87,85,33,6,54,39,1038,42,0,8,0,1,137,32,4,1,2,0,21,168,0,7,10,17,37,29,3,2,0,185,28,5
RPA1,0,0,417,24,0,30,21,0,0,109,0,5,0,5,0,1,42,6,0,168,330,0,0,0,0,3,0,0,40,1,40,0,1,1,7,0
RPA2,137,256,0,359,48,6,174,136,22,0,13,31,1,34,1,1,1,135,265,0,16,0,1,50,122,18,2,120,3,2,38,172,24,4,6,46
RPA3,0,1,1,2,22,52,11,28,2,9,2,66,5,4,47,0,21,28,66,78,18,1,0,4,2,15,43,1,6,0,18,18,0,0,2,60
RPA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPAIN,0,0,0,1,0,1,6,45,170,65,0,1,74,3,0,0,4,13,0,14,9,0,0,0,1,4,2,52,8,0,8,4,1,28,1,15
RPAP1,176,0,0,0,34,5,51,13,168,0,26,19,0,11,1,0,0,59,31,0,0,0,0,0,4,3,8,0,0,0,8,0,0,5,0,0
RPAP2,77,3,52,154,435,54,14,261,309,2,166,72,29,21,130,1,14,84,155,436,0,15,0,4,1,25,1,14,0,655,7,1,0,4,88,9
RPAP3,0,5,0,3,0,7,6,22,137,274,0,0,2,5,22,0,34,0,111,6,0,2,3,38,1,0,0,0,0,5,10,0,1,0,0,6
RPARP.AS1,0,0,0,114,1,34,2,0,76,11,192,41,0,40,8,0,1,0,0,0,2,0,26,35,0,7,1,2,163,37,28,0,0,0,0,0
RPE,144,23,3,1,35,26,281,19,0,0,0,1,0,20,1,0,0,36,248,0,0,0,0,0,0,10,0,0,0,0,62,0,0,20,0,0
RPEL1,1,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPF1,10,13,52,17,19,23,21,141,55,22,285,55,1,18,44,126,5,64,105,0,1,1,4,22,1,38,6,64,6,5,19,15,0,5,147,72
RPF2,50,11,23,12,75,158,6,208,15,26,7,0,0,36,1,7,1,4,12,103,48,30,7,6,0,5,28,13,16,3,6,2,31,0,1,70
RPGR,0,80,0,0,1,0,24,0,0,0,10,0,0,0,0,5,0,50,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0
RPGRIP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
RPGRIP1L,16,0,24,0,41,1,0,0,0,0,249,0,11,8,8,0,0,6,25,0,0,0,0,50,0,4,85,0,0,21,0,1,6,0,0,56
RPH3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPH3AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
RPIA,28,0,6,0,22,14,0,2,1,8,0,8,5,5,109,0,1,93,27,205,11,0,3,9,0,22,34,0,0,0,5,2,1,0,1,123
RPL10,1190,899,1771,3707,1643,492,1535,971,3422,1071,1340,879,1574,281,580,1377,1017,345,1310,1550,2901,1666,1478,1525,1092,430,1003,1402,1973,1590,318,1336,1847,1260,1412,1427
RPL10A,160,283,321,241,204,160,336,238,707,394,68,334,546,77,117,316,201,80,441,191,403,351,1096,316,342,105,243,291,677,362,120,551,150,196,293,479
RPL10L,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,2,0,0,1,0,0,0,1
RPL11,92,116,103,223,48,90,196,111,223,105,543,138,134,56,84,200,97,59,172,109,139,100,239,104,95,107,160,212,217,184,48,68,69,91,62,495
RPL12,113,97,236,334,87,88,177,113,297,185,182,94,150,32,112,299,123,130,255,164,269,169,278,143,141,73,81,135,227,263,34,165,117,160,149,143
RPL13,342,359,1021,441,190,192,329,253,475,560,573,577,701,114,100,391,182,209,310,141,490,241,715,219,186,140,318,241,673,480,72,232,631,401,312,132
RPL13A,265,211,857,504,223,142,480,114,696,234,322,303,706,63,291,310,284,59,146,131,110,1450,74,156,198,76,735,337,784,250,49,1117,240,720,17,466
RPL13AP20,3,0,8,6,4,3,5,48,10,9,11,3,11,0,1,3,4,2,5,8,6,11,8,3,3,4,5,5,6,12,4,4,10,6,10,19
RPL13AP3,3,0,1,1,1,2,2,0,5,1,3,1,3,0,0,0,0,0,1,1,0,1,4,0,1,0,0,0,3,1,0,0,1,1,0,234
RPL13AP6,1,1,1,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,2,0,0,2,0,0,0,0,2,3,3,0,0,0,0,2,0
RPL13P5,0,1,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,2,0,6,0,0,1,0,0,0,0,0
RPL14,290,377,781,830,624,355,764,531,1182,419,506,501,640,187,313,352,509,215,824,1099,1256,929,876,345,991,323,547,301,733,452,184,474,552,586,340,698
RPL15,1335,1076,1712,3205,1656,532,1960,1698,4250,1808,1049,305,857,412,763,2335,781,612,2290,879,4342,1154,576,891,791,443,1185,1666,1101,2063,360,1476,1253,1287,2914,1524
RPL17,14,0,36,14,2,6,29,40,8,5,7,2,1,6,5,3,0,6,2,43,5,6,69,6,25,5,10,25,1,4,9,0,2,17,1,85
RPL18,124,38,108,143,98,34,144,81,208,130,90,130,183,21,83,161,76,56,168,64,51,137,67,103,67,24,90,159,197,29,36,96,139,93,43,87
RPL18A,266,139,444,405,268,99,381,291,765,441,750,317,437,78,131,416,190,104,316,305,616,654,406,214,252,142,241,216,454,276,72,360,341,435,287,245
RPL19,434,693,857,946,668,355,985,656,1577,674,960,697,932,231,403,812,556,301,798,1085,1256,1077,992,675,1045,386,589,949,607,614,159,510,846,374,694,858
RPL19P12,2,5,2,3,2,0,0,1,9,4,3,1,12,0,0,5,3,1,1,4,0,4,3,1,3,1,0,2,0,3,2,2,1,1,1,4
RPL21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL21P44,0,0,0,32,0,21,0,0,4,0,0,0,0,0,15,1,0,0,21,114,0,46,0,1,0,6,0,98,0,0,1,0,0,609,0,8
RPL22,395,146,53,235,114,171,799,163,397,289,543,51,681,133,203,141,236,94,111,165,1488,648,630,508,152,180,186,567,96,59,84,916,246,76,360,208
RPL22L1,8,111,47,30,5,38,134,72,47,26,84,4,35,5,115,47,9,34,142,139,20,86,56,230,20,13,23,169,10,21,14,68,50,12,18,262
RPL23,481,538,912,785,552,651,918,450,1510,634,1348,605,678,354,393,1155,695,363,602,619,1188,485,1015,358,846,357,431,514,775,926,273,454,670,448,478,559
RPL23A,122,106,128,335,242,107,202,330,317,135,220,70,127,51,81,344,175,88,195,514,600,139,92,194,205,93,71,370,579,250,82,163,397,340,85,283
RPL23AP32,14,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5
RPL23AP53,0,2,63,0,1,5,18,2,0,156,0,6,2,22,104,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,10
RPL23AP64,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
RPL23AP7,183,4,90,19,98,65,167,59,104,16,18,52,46,56,57,30,60,118,59,169,2,264,157,4,23,24,46,148,62,140,66,15,104,40,29,40
RPL23AP82,55,8,12,53,62,37,110,58,214,7,22,7,2,19,10,19,6,19,45,6,0,29,19,14,16,28,11,70,68,15,55,30,14,6,7,3
RPL23AP87,36,2,33,1,24,33,79,46,59,7,0,15,4,30,23,21,29,18,17,13,0,16,77,48,5,4,8,27,18,51,18,83,4,6,11,5
RPL23P8,0,2,3,8,0,3,6,0,9,3,6,1,3,2,4,8,6,1,3,4,8,1,1,3,7,2,0,7,5,7,1,3,6,2,5,4
RPL24,139,134,132,172,67,67,227,78,236,47,757,168,61,45,76,146,79,45,173,183,95,95,152,223,106,59,58,139,322,91,40,121,139,150,146,178
RPL26,58,29,77,64,116,47,118,31,294,95,42,71,106,19,26,50,98,43,108,133,132,67,115,69,60,47,27,89,84,132,21,85,91,140,69,97
RPL26L1,88,58,54,129,16,28,209,31,90,13,342,23,5,28,39,141,22,60,119,256,92,43,45,67,3,38,78,111,32,126,41,52,6,24,145,85
RPL27,212,235,336,489,206,142,364,253,532,254,211,199,272,71,138,300,151,111,346,375,359,273,435,208,283,93,155,417,288,286,94,235,241,192,254,251
RPL27A,76,91,155,208,75,146,92,191,323,91,83,200,120,65,45,464,102,34,137,194,208,142,177,58,235,47,108,166,150,245,25,151,117,73,72,173
RPL28,182,77,180,320,91,25,114,47,326,79,98,124,140,35,46,121,72,23,205,103,515,155,154,49,78,36,105,56,151,139,22,158,68,171,100,93
