Gene,PDX_mRCC_SC_1,PDX_mRCC_SC_79,PDX_mRCC_SC_4,PDX_mRCC_SC_87,PDX_mRCC_SC_34,PDX_mRCC_SC_89,PDX_mRCC_SC_69,PDX_mRCC_SC_20,PDX_mRCC_SC_61,PDX_mRCC_SC_5,PDX_mRCC_SC_68,PDX_mRCC_SC_56,PDX_mRCC_SC_3,PDX_mRCC_SC_44,PDX_mRCC_SC_92,PDX_mRCC_SC_63,PDX_mRCC_SC_12,PDX_mRCC_SC_52,PDX_mRCC_SC_70,PDX_mRCC_SC_88,PDX_mRCC_SC_77,PDX_mRCC_SC_90,PDX_mRCC_SC_60,PDX_mRCC_SC_81,PDX_mRCC_SC_95,PDX_mRCC_SC_93,PDX_mRCC_SC_41,PDX_mRCC_SC_80,PDX_mRCC_SC_6,PDX_mRCC_SC_64,PDX_mRCC_SC_15,PDX_mRCC_SC_14,PDX_mRCC_SC_8,PDX_mRCC_SC_94,PDX_mRCC_SC_21,PDX_mRCC_SC_86
MRI1,48,0,0,0,5,13,15,0,0,0,0,0,0,14,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,24,0,0,0
MRM1,0,0,0,0,0,5,0,5,0,0,0,0,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MROH1,0,7,34,2,0,32,73,153,128,183,95,11,5,19,50,165,3,39,131,316,1,0,0,31,21,2,0,0,1,1,7,59,1,9,1,62
MROH6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MROH7.TTC4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MROH8,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MROH9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
MRPL1,15,0,2,4,65,1,1,31,1,0,0,0,0,4,0,3,13,1,19,11,10,2,0,1,17,5,10,4,1,0,10,0,0,2,0,29
MRPL10,96,0,100,7,446,57,147,51,364,0,3,107,53,19,1,10,61,148,165,0,595,50,0,321,0,17,2,0,0,656,21,0,0,58,0,357
MRPL11,64,0,23,2,1,6,27,2,35,117,7,25,0,4,0,5,0,18,55,0,98,4,0,83,3,9,26,1,4,46,0,0,0,0,0,1
MRPL12,30,1,4,0,4,0,0,5,1,8,0,0,0,0,0,0,0,19,1,0,2,0,0,6,0,0,0,1,0,0,0,0,0,3,0,0
MRPL13,32,1,28,107,37,30,58,33,145,22,65,47,6,12,37,22,5,41,78,3,0,96,47,34,48,15,10,90,1,42,18,37,7,24,16,59
MRPL14,83,0,3,82,2,27,6,60,5,90,4,22,23,9,4,79,19,62,202,149,0,3,0,4,0,1,16,123,0,300,25,14,0,42,189,1
MRPL15,42,31,1,0,66,21,130,194,29,11,62,2,0,19,0,0,6,61,10,1,19,13,0,0,1,1,0,0,5,0,6,0,0,0,10,46
MRPL16,52,0,0,1,117,16,74,2,161,0,1,45,0,6,0,0,26,74,2,0,0,0,24,0,2,22,3,0,0,0,1,49,0,282,0,70
MRPL17,157,118,15,43,128,108,133,132,1,99,0,94,4,57,16,5,121,310,325,0,333,798,3,203,2,18,277,2,92,0,86,27,3,108,1,6
MRPL18,23,131,291,19,137,82,58,225,405,269,265,173,96,39,72,118,56,59,600,177,59,138,38,16,105,82,133,677,70,225,26,145,19,25,0,71
MRPL19,5,137,757,121,97,78,190,41,34,6,75,177,8,75,200,77,3,169,29,3,205,1,542,208,10,64,136,41,390,55,76,18,1,1,66,779
MRPL2,23,0,2,0,4,4,4,2,59,0,69,3,41,3,0,0,43,2,39,99,33,0,0,0,1,0,1,0,2,3,2,6,2,2,2,64
MRPL20,74,2,19,204,82,29,145,106,67,33,148,111,81,16,19,50,44,51,57,85,63,51,40,19,7,17,16,35,61,88,39,22,44,14,123,65
MRPL21,0,0,25,1,8,3,1,10,6,2,5,4,1,3,14,7,8,6,18,14,6,8,8,2,0,3,1,1,6,0,0,0,23,2,0,1
MRPL22,60,0,0,26,66,41,164,44,63,20,460,9,21,33,31,5,41,39,201,0,9,0,0,227,4,38,25,78,15,4,28,79,81,29,0,37
MRPL23,1,0,4,0,0,2,1,4,0,0,6,0,0,0,0,0,1,2,0,0,11,0,2,0,0,0,0,0,0,0,0,0,5,4,0,0
MRPL24,8,6,5,9,81,43,104,83,152,4,11,45,21,12,7,9,21,77,220,20,10,92,8,5,3,20,63,3,35,49,19,21,0,167,22,36
MRPL27,13,1,18,114,46,34,111,349,295,0,26,33,3,19,78,14,24,25,9,0,8,0,0,15,60,12,1,15,47,102,22,134,10,101,7,6
