comparison,rowname,lb,mle,ub,ce,Z,cZ
1 vs. 2,Txlnb,-1.0065168793447035,0.2935674231422033,1.8033427421592565,0.0,0.5900209121693046,0.0
1 vs. 2,1700101I11Rik,-1.0065168793447035,0.2935674231422033,1.8033427421592565,0.0,0.5900209121693046,0.0
1 vs. 2,F5,-1.0065168793447035,0.2935674231422033,1.8033427421592565,0.0,0.5900209121693046,0.0
1 vs. 2,Fam83c,-1.0065168793447035,0.2935674231422033,1.8033427421592565,0.0,0.5900209121693046,0.0
1 vs. 2,Nespas,-1.8452809454652885,-0.6290730495904381,0.6710112528964668,0.0,-0.5863623999303925,-0.0
1 vs. 2,Akirin1,-2.1388483686074933,-0.3355056264482367,0.5871348462844093,0.0,-0.5851179283470551,-0.0
1 vs. 2,Sycp3,-0.8807022694266139,0.2935674231422033,1.3839607090989656,0.0,0.5849677497087369,0.0
1 vs. 2,Cxcl13,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.5843806803671698,0.0
1 vs. 2,Ankrd34b,-1.0065168793447035,0.2935674231422033,1.8033427421592565,0.0,0.5841553449017506,0.0
1 vs. 2,Gna14,-1.4678371157110233,-0.3355056264482367,1.4258989124049912,0.0,-0.5832114675728658,-0.0
1 vs. 2,Traf5,-1.0065168793447035,0.2935674231422033,1.8872191487713141,0.0,0.5803159352959569,0.0
1 vs. 2,Ntmt1,-1.6355899289351417,-0.5032584396723517,0.7129494562024956,0.0,-0.5745743452876256,-0.0
1 vs. 2,Kcna1,-0.9645786760386748,0.2935674231422033,1.7614045388532278,0.0,0.5743501524232921,0.0
1 vs. 2,Mcin,-1.7194663355472024,0.7548876595085243,1.593651725629113,0.0,0.5693534340905777,0.0
1 vs. 2,1810062O18Rik,-1.0065168793447035,0.2935674231422033,1.7614045388532278,0.0,0.5665942989842763,0.0
